Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,23454.759765625,22818.939453125,23058.609375,23346.240234375,3733160000,23346.240234375
2019-01-03,23199.439453125,22599.5,23176.390625,22686.220703125,3822860000,22686.220703125
2019-01-04,23551.3203125,22894.919921875,22894.919921875,23433.16015625,4213410000,23433.16015625
2019-01-07,23725.869140625,23252.970703125,23474.259765625,23531.349609375,4104710000,23531.349609375
2019-01-08,23985.7109375,23510.69921875,23680.3203125,23787.44921875,4083030000,23787.44921875
2019-01-09,24084.7109375,23703.16015625,23844.26953125,23879.119140625,4052480000,23879.119140625
2019-01-10,24068.0703125,23612.94921875,23811.109375,24001.919921875,3704500000,24001.919921875
2019-01-11,24069.890625,23727.849609375,23940.009765625,23995.94921875,3434490000,23995.94921875
2019-01-14,24039.279296875,23691.130859375,23880.529296875,23909.83984375,3664450000,23909.83984375
2019-01-15,24187.19921875,23732.58984375,23914.109375,24065.58984375,3572330000,24065.58984375
2019-01-16,24393.2109375,24016.5,24139.91015625,24207.16015625,3863770000,24207.16015625
2019-01-17,24508.220703125,23986.119140625,24147.08984375,24370.099609375,3772270000,24370.099609375
2019-01-18,24805.890625,24381.900390625,24534.189453125,24706.349609375,3986730000,24706.349609375
2019-01-22,24701.330078125,24206.150390625,24607.759765625,24404.48046875,3908030000,24404.48046875
2019-01-23,24779.7890625,24283.8203125,24577.25,24575.619140625,3335610000,24575.619140625
2019-01-24,24741.029296875,24328.740234375,24579.9609375,24553.240234375,3433250000,24553.240234375
2019-01-25,24948.580078125,24546.630859375,24687.2109375,24737.19921875,3814080000,24737.19921875
2019-01-28,24606.169921875,24260.08984375,24596.98046875,24528.220703125,3612810000,24528.220703125
2019-01-29,24779.0,24398.33984375,24519.619140625,24579.9609375,3504200000,24579.9609375
2019-01-30,25201.630859375,24625.51953125,24826.51953125,25014.859375,3867810000,25014.859375
2019-01-31,25198.1796875,24704.109375,24954.48046875,24999.669921875,4917650000,24999.669921875
2019-02-01,25301.0390625,24860.060546875,25025.310546875,25063.890625,3759270000,25063.890625
2019-02-04,25283.779296875,24865.5,25062.119140625,25239.369140625,3359840000,25239.369140625
2019-02-05,25540.900390625,25191.73046875,25287.9296875,25411.51953125,3560430000,25411.51953125
2019-02-06,25552.830078125,25208.119140625,25371.5703125,25390.30078125,3472690000,25390.30078125
2019-02-07,25359.9296875,24954.2109375,25265.810546875,25169.529296875,4099490000,25169.529296875
2019-02-08,25197.939453125,24812.08984375,25042.359375,25106.330078125,3622330000,25106.330078125
2019-02-11,25272.150390625,24956.55078125,25142.810546875,25053.109375,3361970000,25053.109375
2019-02-12,25507.51953125,25134.880859375,25152.029296875,25425.759765625,3827770000,25425.759765625
2019-02-13,25708.580078125,25403.9609375,25480.859375,25543.26953125,3670770000,25543.26953125
2019-02-14,25607.19921875,25243.439453125,25460.650390625,25439.390625,3836700000,25439.390625
2019-02-15,25932.279296875,25563.140625,25564.630859375,25883.25,3641370000,25883.25
2019-02-19,26030.150390625,25729.69921875,25849.849609375,25891.3203125,3533710000,25891.3203125
2019-02-20,26070.58984375,25758.80078125,25872.259765625,25954.439453125,3835450000,25954.439453125
2019-02-21,26053.369140625,25683.150390625,25922.41015625,25850.630859375,3559710000,25850.630859375
2019-02-22,26123.25,25829.439453125,25906.26953125,26031.810546875,3427810000,26031.810546875
2019-02-25,26335.650390625,26022.66015625,26126.150390625,26091.94921875,3804380000,26091.94921875
2019-02-26,26208.2109375,25872.5,26051.609375,26057.98046875,3645680000,26057.98046875
2019-02-27,26172.470703125,25787.810546875,25995.599609375,25985.16015625,3767130000,25985.16015625
2019-02-28,26136.740234375,25773.669921875,25984.279296875,25916.0,4396930000,25916.0
2019-03-01,26259.4296875,25858.529296875,26019.669921875,26026.3203125,3972280000,26026.3203125
2019-03-04,26248.009765625,25579.48046875,26122.189453125,25819.650390625,3919810000,25819.650390625
2019-03-05,25968.310546875,25648.30078125,25829.0703125,25806.630859375,3585690000,25806.630859375
2019-03-06,25930.880859375,25573.650390625,25818.759765625,25673.4609375,3786600000,25673.4609375
2019-03-07,25688.0703125,25295.810546875,25645.44921875,25473.23046875,3904860000,25473.23046875
2019-03-08,25539.169921875,25117.419921875,25347.380859375,25450.240234375,3423130000,25450.240234375
2019-03-11,25739.939453125,25121.599609375,25208.0,25650.880859375,3749030000,25650.880859375
2019-03-12,25804.4609375,25391.419921875,25600.30078125,25554.66015625,3414230000,25554.66015625
2019-03-13,25858.330078125,25459.259765625,25637.23046875,25702.890625,3766150000,25702.890625
2019-03-14,25852.2890625,25565.419921875,25692.310546875,25709.939453125,3469730000,25709.939453125
2019-03-15,26025.76953125,25564.369140625,25720.9609375,25848.869140625,5962730000,25848.869140625
2019-03-18,26007.669921875,25672.509765625,25801.880859375,25914.099609375,3552190000,25914.099609375
2019-03-19,26189.970703125,25772.859375,25987.869140625,25887.380859375,3620220000,25887.380859375
2019-03-20,26048.23046875,25572.390625,25867.7890625,25745.669921875,3771200000,25745.669921875
2019-03-21,26081.0703125,25599.009765625,25688.439453125,25962.509765625,3546800000,25962.509765625
2019-03-22,25967.73046875,25402.5390625,25844.650390625,25502.3203125,4237200000,25502.3203125
2019-03-25,25698.439453125,25262.150390625,25490.720703125,25516.830078125,3376580000,25516.830078125
2019-03-26,25899.009765625,25460.33984375,25649.560546875,25657.73046875,3266050000,25657.73046875
2019-03-27,25846.259765625,25400.0703125,25676.33984375,25625.58984375,3372930000,25625.58984375
2019-03-28,25822.529296875,25535.029296875,25693.3203125,25717.4609375,3158170000,25717.4609375
2019-03-29,26018.2109375,25686.650390625,25827.310546875,25928.6796875,3740700000,25928.6796875
2019-04-01,26383.919921875,25948.75,26075.099609375,26258.419921875,3500760000,26258.419921875
2019-04-02,26350.279296875,26023.990234375,26213.55078125,26179.130859375,3246900000,26179.130859375
2019-04-03,26398.30078125,26052.26953125,26238.029296875,26218.130859375,3550240000,26218.130859375
2019-04-04,26508.0703125,26103.33984375,26213.419921875,26384.630859375,3015180000,26384.630859375
2019-04-05,26583.1796875,26288.970703125,26427.560546875,26424.990234375,3146820000,26424.990234375
2019-04-08,26447.939453125,26129.689453125,26312.669921875,26341.01953125,3054030000,26341.01953125
2019-04-09,26314.5390625,26012.560546875,26243.5390625,26150.580078125,3007980000,26150.580078125
2019-04-10,26298.939453125,25993.169921875,26173.7109375,26157.16015625,3062380000,26157.16015625
2019-04-11,26349.01953125,25942.029296875,26188.2109375,26143.05078125,2938540000,26143.05078125
2019-04-12,26607.08984375,26123.419921875,26357.7890625,26412.30078125,3688490000,26412.30078125
2019-04-15,26548.58984375,26207.55078125,26407.759765625,26384.76953125,3088330000,26384.76953125
2019-04-16,26727.740234375,26226.369140625,26482.189453125,26452.66015625,3402210000,26452.66015625
2019-04-17,26728.1796875,26183.130859375,26468.529296875,26449.5390625,3602300000,26449.5390625
2019-04-18,26737.91015625,26322.130859375,26463.369140625,26559.5390625,3506850000,26559.5390625
2019-04-22,26670.169921875,26336.759765625,26510.76953125,26511.05078125,2997950000,26511.05078125
2019-04-23,26786.369140625,26389.919921875,26513.830078125,26656.390625,3635030000,26656.390625
2019-04-24,26822.759765625,26437.4609375,26652.560546875,26597.05078125,3448960000,26597.05078125
2019-04-25,26684.810546875,26179.91015625,26426.369140625,26462.080078125,3425280000,26462.080078125
2019-04-26,26647.91015625,26254.2890625,26454.619140625,26543.330078125,3248500000,26543.330078125
2019-04-29,26745.169921875,26380.939453125,26559.869140625,26554.390625,3118780000,26554.390625
2019-04-30,26779.490234375,26312.060546875,26594.560546875,26592.91015625,3919330000,26592.91015625
2019-05-01,26828.3203125,26364.689453125,26639.060546875,26430.140625,3645850000,26430.140625
2019-05-02,26550.150390625,26116.359375,26407.150390625,26307.7890625,3778890000,26307.7890625
2019-05-03,26624.8203125,26281.900390625,26379.140625,26504.94921875,3338120000,26504.94921875
2019-05-06,26508.369140625,25960.0,26160.619140625,26438.48046875,3181520000,26438.48046875
2019-05-07,26276.900390625,25764.83984375,26276.900390625,25965.08984375,3767100000,25965.08984375
2019-05-08,26181.5703125,25787.359375,25933.7890625,25967.330078125,3485790000,25967.330078125
2019-05-09,25884.890625,25517.390625,25878.849609375,25828.359375,3638820000,25828.359375
2019-05-10,26032.400390625,25430.009765625,25763.720703125,25942.369140625,3529600000,25942.369140625
2019-05-13,25620.150390625,25164.69921875,25568.060546875,25324.990234375,3894030000,25324.990234375
2019-05-14,25755.2109375,25301.859375,25384.029296875,25532.05078125,3322720000,25532.05078125
2019-05-15,25776.099609375,25272.69921875,25400.130859375,25648.01953125,3125950000,25648.01953125
2019-05-16,25957.630859375,25692.140625,25692.140625,25862.6796875,3338060000,25862.6796875
2019-05-17,26000.390625,25564.80078125,25719.94921875,25764.0,3257950000,25764.0
2019-05-20,25842.76953125,25480.640625,25655.310546875,25679.900390625,3288870000,25679.900390625
2019-05-21,25995.669921875,25660.2890625,25782.33984375,25877.330078125,3218700000,25877.330078125
2019-05-22,25968.380859375,25638.189453125,25818.4609375,25776.609375,3192510000,25776.609375
2019-05-23,25657.990234375,25328.08984375,25657.990234375,25490.470703125,3891980000,25490.470703125
2019-05-24,25776.240234375,25429.400390625,25551.0703125,25585.689453125,2887390000,25585.689453125
2019-05-28,25717.630859375,25342.279296875,25616.55078125,25347.76953125,4121410000,25347.76953125
2019-05-29,25231.4609375,24938.240234375,25231.4609375,25126.41015625,3700050000,25126.41015625
2019-05-30,25218.5390625,25066.75,25139.939453125,25169.880859375,3273790000,25169.880859375
2019-05-31,25046.310546875,24809.509765625,25046.310546875,24815.0390625,3981020000,24815.0390625
2019-06-03,24935.2109375,24680.5703125,24830.19921875,24819.779296875,3966700000,24819.779296875
2019-06-04,25343.76953125,24962.8203125,24962.8203125,25332.1796875,3810430000,25332.1796875
2019-06-05,25544.66015625,25373.580078125,25451.0,25539.5703125,3548830000,25539.5703125
2019-06-06,25800.30078125,25518.05078125,25567.44921875,25720.66015625,3396410000,25720.66015625
2019-06-07,26072.75,25768.720703125,25768.720703125,25983.939453125,3220250000,25983.939453125
2019-06-10,26210.609375,26054.310546875,26090.220703125,26062.6796875,3209210000,26062.6796875
2019-06-11,26248.669921875,25998.869140625,26180.58984375,26048.509765625,3548420000,26048.509765625
2019-06-12,26082.099609375,25958.66015625,26040.30078125,26004.830078125,3034130000,26004.830078125
2019-06-13,26146.91015625,25995.7109375,26036.939453125,26106.76953125,3069810000,26106.76953125
2019-06-14,26162.279296875,25988.08984375,26076.359375,26089.609375,2922330000,26089.609375
2019-06-17,26165.779296875,26049.80078125,26108.5,26112.529296875,2810140000,26112.529296875
2019-06-18,26527.189453125,26227.80078125,26228.900390625,26465.5390625,3437620000,26465.5390625
2019-06-19,26569.75,26415.05078125,26490.16015625,26504.0,3287890000,26504.0
2019-06-20,26798.630859375,26539.689453125,26665.380859375,26753.169921875,3905940000,26753.169921875
2019-06-21,26907.369140625,26705.869140625,26749.119140625,26719.130859375,5000120000,26719.130859375
2019-06-24,26806.51953125,26723.369140625,26727.609375,26727.5390625,3136250000,26727.5390625
2019-06-25,26752.310546875,26527.66015625,26731.609375,26548.220703125,3578050000,26548.220703125
2019-06-26,26660.0390625,26536.330078125,26599.419921875,26536.8203125,3478130000,26536.8203125
2019-06-27,26607.240234375,26465.3203125,26523.720703125,26526.580078125,3122920000,26526.580078125
2019-06-28,26638.349609375,26522.26953125,26605.9296875,26599.9609375,5420700000,26599.9609375
2019-07-01,26890.640625,26616.2109375,26805.859375,26717.4296875,3513270000,26717.4296875
2019-07-02,26787.560546875,26632.650390625,26719.529296875,26786.6796875,3206840000,26786.6796875
2019-07-03,26966.0,26831.439453125,26832.3203125,26966.0,1963720000,26966.0
2019-07-05,26950.810546875,26733.330078125,26867.75,26922.119140625,2434210000,26922.119140625
2019-07-08,26839.140625,26744.869140625,26835.640625,26806.140625,2904550000,26806.140625
2019-07-09,26807.69921875,26665.5703125,26725.119140625,26783.490234375,3028210000,26783.490234375
2019-07-10,26983.44921875,26813.109375,26851.9609375,26860.19921875,3154240000,26860.19921875
2019-07-11,27088.44921875,26916.3203125,26950.16015625,27088.080078125,3154620000,27088.080078125
2019-07-12,27333.7890625,27135.44921875,27139.490234375,27332.029296875,2974960000,27332.029296875
2019-07-15,27364.689453125,27294.169921875,27364.689453125,27359.16015625,2874970000,27359.16015625
2019-07-16,27398.6796875,27290.240234375,27349.3203125,27335.630859375,3290650000,27335.630859375
2019-07-17,27343.060546875,27218.380859375,27320.91015625,27219.849609375,3181600000,27219.849609375
2019-07-18,27266.810546875,27068.7890625,27191.98046875,27222.970703125,3296580000,27222.970703125
